NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,
lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss
0.01,64,0.00001,63.16%,1.096,,0.01,64,0.00001,57.68%,1.23,,0.01,64,0.00001,51.70%,1.397404
0.01,64,0.00003,65.32%,1.037,,0.01,64,0.00003,61.40%,1.144,,0.01,64,0.00003,56.50%,1.254071
0.01,64,0.0001,64.22%,1.063,,0.01,64,0.0001,62.94%,1.097,,0.01,64,0.0001,58.76%,1.204449
0.01,128,0.00001,60.48%,1.166,,0.01,128,0.00001,58.84%,1.204,,0.01,128,0.00001,54.32%,1.344726
0.01,128,0.00003,64.36%,1.063,,0.01,128,0.00003,61.72%,1.127,,0.01,128,0.00003,57.04%,1.26524
0.01,128,0.0001,64.28%,1.062,,0.01,128,0.0001,63.22%,1.093,,0.01,128,0.0001,58.94%,1.218209
0.01,256,0.00001,60.62%,1.162,,0.01,256,0.00001,59.28%,1.197,,0.01,256,0.00001,51.80%,1.401596
0.01,256,0.00003,63.14%,1.097,,0.01,256,0.00003,60.72%,1.153,,0.01,256,0.00003,56.58%,1.292962
0.01,256,0.0001,64.22%,1.058,,0.01,256,0.0001,62.98%,1.101,,0.01,256,0.0001,58.44%,1.224239
0.1,64,0.00001,63.96%,1.077,,0.1,64,0.00001,55.68%,1.278,,0.1,64,0.00001,56.08%,1.28
0.1,64,0.00003,64.98%,1.03,,0.1,64,0.00003,60.96%,1.137,,0.1,64,0.00003,57.44%,1.228581
0.1,64,0.0001,,,,0.1,64,0.0001,63.92%,1.072,,0.1,64,0.0001,60.16%,1.155105
0.1,128,0.00001,,,,0.1,128,0.00001,57.82%,1.219,,0.1,128,0.00001,56.32%,1.283
0.1,128,0.00003,,,,0.1,128,0.00003,61.54%,1.125,,0.1,128,0.00003,56.32%,1.283
0.1,128,0.0001,,,,0.1,128,0.0001,64.52%,1.07,,0.1,128,0.0001,60.68%,1.171
0.1,256,0.00001,,,,0.1,256,0.00001,,,,0.1,256,0.00001,,
0.1,256,0.00003,,,,0.1,256,0.00003,60.52%,1.186,,0.1,256,0.00003,55.50%,1.296
0.1,256,0.0001,,,,0.1,256,0.0001,64.30%,1.085,,0.1,256,0.0001,60.56%,1.184
1,64,0.00001,63.58%,1.079,,1,64,0.00001,,,,1,64,0.00001,,
1,64,0.00003,64.78%,1.034,,1,64,0.00003,63.92%,1.073,,1,64,0.00003,54.18%,1.332
1,64,0.0001,65.18%,1.024,,1,64,0.0001,64.80%,1.06,,1,64,0.0001,59.90%,1.191
1,128,0.00001,61.44%,1.146,,1,128,0.00001,,,,1,128,0.00001,,
1,128,0.00003,62.90%,1.103,,1,128,0.00003,,,,1,128,0.00003,52.10%,1.374
1,128,0.0001,,,,1,128,0.0001,,,,1,128,0.0001,60.12%,1.201
1,256,0.00001,,,,1,256,0.00001,,,,1,256,0.00001,,
1,256,0.00003,,,,1,256,0.00003,,,,1,256,0.00003,50.92%,1.422
1,256,0.0001,,,,1,256,0.0001,,,,1,256,0.0001,55.76%,1.304
