8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,64,1.00E-05,62.18,1.131371,,,64,1.00E-05,58.84,1.218031,,,64,1.00E-05,55.32,1.308326,,,64,1.00E-05,51.16,1.416448,,,64,1.00E-05,44.44%,1.566,,,64,1.00E-05,31.74%,1.887
,64,3.00E-05,61.78,1.152879,,,64,3.00E-05,59.82,1.19964,,,64,3.00E-05,57.52,1.241948,,,64,3.00E-05,51.98,1.395776,,,64,3.00E-05,46.82%,1.519,,,64,3.00E-05,33.70%,1.85
,64,1.00E-04,59.18,1.235285,,,64,1.00E-04,58.24,1.243444,,,64,1.00E-04,57.16,1.24556,,,64,1.00E-04,54,1.330746,,,64,1.00E-04,48.36%,1.468,,,64,1.00E-04,37.16%,1.755
,128,1.00E-05,60.48,1.166045,,,128,1.00E-05,58.96,1.221101,,,128,1.00E-05,55.86,1.286536,,,128,1.00E-05,50.18,1.439606,,,128,1.00E-05,43.52%,1.597,,,128,1.00E-05,33.34%,1.871
,128,3.00E-05,61.86,1.147534,,,128,3.00E-05,59.54,1.197902,,,128,3.00E-05,57.48,1.252563,,,128,3.00E-05,51.7,1.398694,,,128,3.00E-05,45.66%,1.542,,,128,3.00E-05,33.62%,1.858
,128,1.00E-04,59.56,1.209493,,,128,1.00E-04,59.58,1.220209,,,128,1.00E-04,57.9,1.234299,,,128,1.00E-04,53.64,1.343549,,,128,1.00E-04,47.78%,1.486,,,128,1.00E-04,37.34%,1.744
,256,1.00E-05,60.54,1.161454,,,256,1.00E-05,58.22,1.23351,,,256,1.00E-05,54.32,1.332418,,,256,1.00E-05,49.28,1.465386,,,256,1.00E-05,44.04%,1.595,,,256,1.00E-05,33.66%,1.858
,256,3.00E-05,61.38,1.146344,,,256,3.00E-05,59.32,1.208262,,,256,3.00E-05,57.14,1.261066,,,256,3.00E-05,52.52,1.379274,,,256,3.00E-05,46.66%,1.511,,,256,3.00E-05,33.62%,1.853
,256,1.00E-04,60.36,1.18569,,,256,1.00E-04,59.5,1.204424,,,256,1.00E-04,57.68,1.242767,,,256,1.00E-04,53.78,1.354404,,,256,1.00E-04,47.94%,1.504,,,256,1.00E-04,33.92%,1.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,64,1.00E-05,64.7,1.020766,,,64,1.00E-05,61.62,1.110666,,,64,1.00E-05,59.94%,1.162074,,,64,1.00E-05,55.08,1.287102,,,64,1.00E-05,48.28%,1.461345,,,64,1.00E-05,37.94%,1.780735
,64,3.00E-05,64.3,1.043961,,,64,3.00E-05,62.72,1.069152,,,64,3.00E-05,60.18%,1.155409,,,64,3.00E-05,55.82,1.2732,,,64,3.00E-05,48.54%,1.455513,,,64,3.00E-05,37.94%,1.772981
,64,1.00E-04,65.34,1.05623,,,64,1.00E-04,62.36,1.095083,,,64,1.00E-04,61.52%,1.122042,,,64,1.00E-04,55.72,1.267741,,,64,1.00E-04,49.18%,1.431277,,,64,1.00E-04,36.10%,1.784868
,128,1.00E-05,63.08,1.063174,,,128,1.00E-05,62.94,1.063028,,,128,1.00E-05,59.78%,1.175764,,,128,1.00E-05,54.26,1.30024,,,128,1.00E-05,48.08%,1.467285,,,128,1.00E-05,37.84%,1.775834
,128,3.00E-05,64.6,1.039578,,,128,3.00E-05,63.34,1.04946,,,128,3.00E-05,61.66%,1.114446,,,128,3.00E-05,55.98,1.255641,,,128,3.00E-05,49.08%,1.43612,,,128,3.00E-05,37.20%,1.778316
,128,1.00E-04,65.4,1.036858,,,128,1.00E-04,62.78,1.077947,,,128,1.00E-04,61.10%,1.124262,,,128,1.00E-04,56.72,1.243508,,,128,1.00E-04,49.22%,1.434641,,,128,1.00E-04,36.20%,1.785147
,256,1.00E-05,65.6,1.03376,,,256,1.00E-05,62,1.100902,,,256,1.00E-05,60.06%,1.161922,,,256,1.00E-05,54.54,1.29983,,,256,1.00E-05,46.74%,1.499818,,,256,1.00E-05,37.98%,1.777981
,256,3.00E-05,66.08,1.015504,,,256,3.00E-05,63.36,1.081273,,,256,3.00E-05,60.78%,1.129726,,,256,3.00E-05,57.34,1.244003,,,256,3.00E-05,48.28%,1.457637,,,256,3.00E-05,37.98%,1.77097
,256,1.00E-04,66.02,1.028314,,,256,1.00E-04,64.54,1.05898,,,256,1.00E-04,61.80%,1.109337,,,256,1.00E-04,56.88,1.253867,,,256,1.00E-04,48.58%,1.451282,,,256,1.00E-04,37.20%,1.776892
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,64,1.00E-05,67.8,0.971507,,,64,1.00E-05,66,1.020476,,,64,1.00E-05,61.08%,1.152247,,,64,1.00E-05,58.36,1.230264,,,64,1.00E-05,50.48%,1.426319,,,64,1.00E-05,40.12%,1.704807
,64,3.00E-05,68.18,0.937263,,,64,3.00E-05,66.7,0.996439,,,64,3.00E-05,63.66%,1.065458,,,64,3.00E-05,59.28,1.199272,,,64,3.00E-05,50.76%,1.403109,,,64,3.00E-05,40.58%,1.688474
,64,1.00E-04,68.58,0.930955,,,64,1.00E-04,67.8,0.970639,,,64,1.00E-04,63.62%,1.055384,,,64,1.00E-04,59.36,1.194896,,,64,1.00E-04,51.12%,1.396921,,,64,1.00E-04,41.54%,1.668828
,128,1.00E-05,65.72,1.037902,,,128,1.00E-05,66.64,1.020973,,,128,1.00E-05,62.28%,1.112421,,,128,1.00E-05,58.56,1.22751,,,128,1.00E-05,49.56%,1.46186,,,128,1.00E-05,40.12%,1.705655
,128,3.00E-05,67.38,0.965202,,,128,3.00E-05,65.72,1.018553,,,128,3.00E-05,62.46%,1.10331,,,128,3.00E-05,58.3,1.225655,,,128,3.00E-05,50.64%,1.427364,,,128,3.00E-05,40.78%,1.681321
,128,1.00E-04,68.42,0.940917,,,128,1.00E-04,67.08,0.981725,,,128,1.00E-04,64.16%,1.052238,,,128,1.00E-04,59.18,1.190556,,,128,1.00E-04,51.06%,1.399047,,,128,1.00E-04,40.32%,1.66635
,256,1.00E-05,67.9,0.98128,,,256,1.00E-05,65.02,1.059214,,,256,1.00E-05,61.08%,1.159282,,,256,1.00E-05,58.04,1.243178,,,256,1.00E-05,49.06%,1.455387,,,256,1.00E-05,39.26%,1.721448
,256,3.00E-05,67.78,0.976325,,,256,3.00E-05,67.66,0.976551,,,256,3.00E-05,62.52%,1.109027,,,256,3.00E-05,59.6,1.204955,,,256,3.00E-05,49.50%,1.43152,,,256,3.00E-05,40.36%,1.689835
,256,1.00E-04,68.88,0.924496,,,256,1.00E-04,67.9,0.957414,,,256,1.00E-04,62.78%,1.082251,,,256,1.00E-04,58.86,1.211107,,,256,1.00E-04,51.14%,1.403778,,,256,1.00E-04,40.78%,1.678174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,
lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss
1.00E-05,64,1.00E-05,62.18,1.131371,,1.00E-05,64,1.00E-05,58.84,1.218031,,1.00E-05,64,1.00E-05,55.32,1.308326,,1.00E-05,64,1.00E-05,51.16,1.416448,,1.00E-05,64,1.00E-05,44.44,1.566029,,1.00E-05,64,1.00E-05,31.74,1.886873
1.00E-05,64,3.00E-05,61.78,1.152879,,1.00E-05,64,3.00E-05,59.82,1.19964,,1.00E-05,64,3.00E-05,57.52,1.241948,,1.00E-05,64,3.00E-05,51.98,1.395776,,1.00E-05,64,3.00E-05,46.82,1.519122,,1.00E-05,64,3.00E-05,33.7,1.850392
1.00E-05,64,1.00E-04,59.18,1.235285,,1.00E-05,64,1.00E-04,58.24,1.243444,,1.00E-05,64,1.00E-04,57.16,1.24556,,1.00E-05,64,1.00E-04,54,1.330746,,1.00E-05,64,1.00E-04,48.36,1.467953,,1.00E-05,64,1.00E-04,37.16,1.754904
1.00E-05,128,1.00E-05,60.48,1.166045,,1.00E-05,128,1.00E-05,58.96,1.221101,,1.00E-05,128,1.00E-05,55.86,1.286536,,1.00E-05,128,1.00E-05,50.18,1.439606,,1.00E-05,128,1.00E-05,43.52,1.597497,,1.00E-05,128,1.00E-05,33.34,1.871125
1.00E-05,128,3.00E-05,61.86,1.147534,,1.00E-05,128,3.00E-05,59.54,1.197902,,1.00E-05,128,3.00E-05,57.48,1.252563,,1.00E-05,128,3.00E-05,51.7,1.398694,,1.00E-05,128,3.00E-05,45.66,1.542399,,1.00E-05,128,3.00E-05,33.62,1.858177
1.00E-05,128,1.00E-04,59.56,1.209493,,1.00E-05,128,1.00E-04,59.58,1.220209,,1.00E-05,128,1.00E-04,57.9,1.234299,,1.00E-05,128,1.00E-04,53.64,1.343549,,1.00E-05,128,1.00E-04,47.78,1.485706,,1.00E-05,128,1.00E-04,37.34,1.74382
1.00E-05,256,1.00E-05,60.54,1.161454,,1.00E-05,256,1.00E-05,58.22,1.23351,,1.00E-05,256,1.00E-05,54.32,1.332418,,1.00E-05,256,1.00E-05,49.28,1.465386,,1.00E-05,256,1.00E-05,44.04,1.595184,,1.00E-05,256,1.00E-05,33.66,1.857965
1.00E-05,256,3.00E-05,61.38,1.146344,,1.00E-05,256,3.00E-05,59.32,1.208262,,1.00E-05,256,3.00E-05,57.14,1.261066,,1.00E-05,256,3.00E-05,52.52,1.379274,,1.00E-05,256,3.00E-05,46.66,1.510581,,1.00E-05,256,3.00E-05,33.62,1.852764
1.00E-05,256,1.00E-04,60.36,1.18569,,1.00E-05,256,1.00E-04,59.5,1.204424,,1.00E-05,256,1.00E-04,57.68,1.242767,,1.00E-05,256,1.00E-04,53.78,1.354404,,1.00E-05,256,1.00E-04,47.94,1.504687,,1.00E-05,256,1.00E-04,33.92,1.840268
1.00E-04,64,1.00E-05,62.18,1.131371,,1.00E-04,64,1.00E-05,58.84,1.218031,,1.00E-04,64,1.00E-05,55.32,1.308326,,1.00E-04,64,1.00E-05,51.16,1.416448,,1.00E-04,64,1.00E-05,44.44,1.566029,,1.00E-04,64,1.00E-05,31.74,1.886873
1.00E-04,64,3.00E-05,61.78,1.152879,,1.00E-04,64,3.00E-05,59.82,1.19964,,1.00E-04,64,3.00E-05,57.52,1.241948,,1.00E-04,64,3.00E-05,51.98,1.395776,,1.00E-04,64,3.00E-05,46.82,1.519122,,1.00E-04,64,3.00E-05,33.7,1.850392
1.00E-04,64,1.00E-04,59.18,1.235285,,1.00E-04,64,1.00E-04,58.24,1.243444,,1.00E-04,64,1.00E-04,57.16,1.24556,,1.00E-04,64,1.00E-04,54,1.330746,,1.00E-04,64,1.00E-04,48.36,1.467953,,1.00E-04,64,1.00E-04,37.16,1.754904
