model_name,vocab_size,hidden_dim,group_name,param_name,param_value,batch_size,learning_rate,best_val_loss,best_val_acc_percent,test_acc_percent,status,log_file
v1562_h8,1562,8,vanilla,none,none,32,3e-6,0.343100,85.700000,85.760000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_32_lr_3em6.log
v1562_h8,1562,8,vanilla,none,none,32,1e-5,0.343000,85.700000,85.820000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_32_lr_1em5.log
v1562_h8,1562,8,vanilla,none,none,32,3e-5,0.343100,85.760000,85.820000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_32_lr_3em5.log
v1562_h8,1562,8,vanilla,none,none,64,3e-6,0.349700,85.460000,85.550000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_64_lr_3em6.log
v1562_h8,1562,8,vanilla,none,none,64,1e-5,0.343300,85.660000,85.760000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_64_lr_1em5.log
v1562_h8,1562,8,vanilla,none,none,64,3e-5,0.343500,85.660000,85.670000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_64_lr_3em5.log
v1562_h8,1562,8,vanilla,none,none,128,3e-6,0.371400,85.040000,85.150000,skipped_existing,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_128_lr_3em6.log
v1562_h8,1562,8,vanilla,none,none,128,1e-5,0.343900,85.620000,85.650000,ok,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_128_lr_1em5.log
v1562_h8,1562,8,vanilla,none,none,128,3e-5,0.344100,85.580000,85.650000,ok,grid_results/final/logs/v1562_h8_vanilla_none_none_bs_128_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,32,3e-6,0.343100,85.700000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_32_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,32,1e-5,0.343000,85.700000,85.820000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_32_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,32,3e-5,0.343100,85.760000,85.820000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_32_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,64,3e-6,0.349700,85.460000,85.550000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_64_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,64,1e-5,0.343300,85.660000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_64_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,64,3e-5,0.343500,85.660000,85.670000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_64_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,128,3e-6,0.371400,85.040000,85.150000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_128_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,128,1e-5,0.343900,85.620000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_128_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-5,128,3e-5,0.344100,85.580000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em5_bs_128_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,32,3e-6,0.343100,85.700000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_32_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,32,1e-5,0.343000,85.700000,85.820000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_32_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,32,3e-5,0.343100,85.760000,85.820000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_32_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,64,3e-6,0.349700,85.460000,85.550000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_64_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,64,1e-5,0.343300,85.660000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_64_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,64,3e-5,0.343500,85.660000,85.670000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_64_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,128,3e-6,0.371400,85.040000,85.150000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_128_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,128,1e-5,0.343900,85.620000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_128_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-4,128,3e-5,0.344100,85.580000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em4_bs_128_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,32,3e-6,0.343100,85.700000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_32_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,32,1e-5,0.343000,85.700000,85.820000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_32_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,32,3e-5,0.343100,85.720000,85.620000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_32_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,64,3e-6,0.349700,85.460000,85.550000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_64_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,64,1e-5,0.343300,85.660000,85.760000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_64_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,64,3e-5,0.343500,85.660000,85.670000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_64_lr_3em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,128,3e-6,0.371400,85.040000,85.150000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_128_lr_3em6.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,128,1e-5,0.343900,85.620000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_128_lr_1em5.log
v1562_h8,1562,8,weight_decay,weight_decay,1e-3,128,3e-5,0.344100,85.580000,85.650000,ok,grid_results/final/logs/v1562_h8_weight_decay_weight_decay_1em3_bs_128_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.1,32,3e-6,0.345700,85.760000,85.650000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_32_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.1,32,1e-5,0.344700,85.680000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_32_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.1,32,3e-5,0.344300,85.720000,85.660000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_32_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.1,64,3e-6,0.353000,85.360000,85.600000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.1,64,1e-5,0.345200,85.700000,85.670000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.1,64,3e-5,0.345000,85.720000,85.680000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.1,128,3e-6,0.377400,85.080000,85.030000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.1,128,1e-5,0.345800,85.740000,85.620000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.1,128,3e-5,0.345900,85.620000,85.600000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.3,32,3e-6,0.343400,85.560000,85.690000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.3,32,1e-5,0.339000,85.680000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.3,32,3e-5,0.338500,85.680000,85.770000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.3,64,3e-6,0.358200,85.300000,85.370000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.3,64,1e-5,0.339300,85.520000,85.710000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.3,64,3e-5,0.338700,85.660000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_3em5.log
