vocab size/hidden-dim:,50000/256,,,,,vocab size/hidden-dim:,25000/128,,,,,vocab size/hidden-dim:,12500/64,,,,,vocab size/hidden-dim:,6250/32,,,,,vocab size/hidden-dim:,3125/16,,,,,vocab size/hidden-dim:,1562/8,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-06,90.26,0.2584,,,32,3.00E-06,89.56,0.263,,,32,3.00E-06,89.54,0.2711,,,32,3.00E-06,88.48,0.2926,,,32,3.00E-06,87.18,0.3129,,,32,3.00E-06,85.7,0.3431
,32,1.00E-05,90.26,0.2592,,,32,1.00E-05,89.58,0.2633,,,32,1.00E-05,89.46,0.2712,,,32,1.00E-05,88.46,0.2927,,,32,1.00E-05,87.24,0.313,,,32,1.00E-05,85.7,0.343
,32,3.00E-05,89.96,0.2592,,,32,3.00E-05,89.58,0.2638,,,32,3.00E-05,89.38,0.2718,,,32,3.00E-05,88.44,0.2933,,,32,3.00E-05,87.24,0.3131,,,32,3.00E-05,85.76,0.3431
,64,3.00E-06,90.2,0.2588,,,64,3.00E-06,89.52,0.2634,,,64,3.00E-06,89.54,0.2712,,,64,3.00E-06,88.46,0.2928,,,64,3.00E-06,87.2,0.3133,,,64,3.00E-06,85.46,0.3497
,64,1.00E-05,90.1,0.2594,,,64,1.00E-05,89.58,0.2637,,,64,1.00E-05,89.5,0.2714,,,64,1.00E-05,88.44,0.2929,,,64,1.00E-05,87.18,0.3133,,,64,1.00E-05,85.66,0.3433
,64,3.00E-05,89.94,0.2596,,,64,3.00E-05,89.42,0.2642,,,64,3.00E-05,89.38,0.2716,,,64,3.00E-05,88.42,0.2933,,,64,3.00E-05,87.16,0.3135,,,64,3.00E-05,85.66,0.3435
,128,3.00E-06,90.12,0.2594,,,128,3.00E-06,89.5,0.2639,,,128,3.00E-06,89.44,0.2715,,,128,3.00E-06,88.38,0.2933,,,128,3.00E-06,86.94,0.318,,,128,3.00E-06,85.04,0.3714
,128,1.00E-05,90.08,0.2601,,,128,1.00E-05,89.48,0.2643,,,128,1.00E-05,89.48,0.2718,,,128,1.00E-05,88.38,0.2935,,,128,1.00E-05,87.16,0.314,,,128,1.00E-05,85.62,0.3439
,128,3.00E-05,89.98,0.2605,,,128,3.00E-05,89.48,0.2652,,,128,3.00E-05,89.32,0.2722,,,128,3.00E-05,88.34,0.294,,,128,3.00E-05,87.14,0.3143,,,128,3.00E-05,85.58,0.3441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-06,89.94,0.2522,,,32,3.00E-06,89.64,0.2541,,,32,3.00E-06,89.14,0.2666,,,32,3.00E-06,88.22,0.2893,,,32,3.00E-06,86.84,0.316,,,32,3.00E-06,85.06,0.3575
,32,1.00E-05,89.92,0.253,,,32,1.00E-05,89.6,0.2551,,,32,1.00E-05,89.04,0.2672,,,32,1.00E-05,88.18,0.2895,,,32,1.00E-05,86.88,0.3162,,,32,1.00E-05,85.18,0.3566
,32,3.00E-05,89.88,0.2594,,,32,3.00E-05,89.66,0.2593,,,32,3.00E-05,88.76,0.2687,,,32,3.00E-05,88.02,0.2897,,,32,3.00E-05,86.76,0.3157,,,32,3.00E-05,85.26,0.3548
,64,3.00E-06,89.84,0.2535,,,64,3.00E-06,89.46,0.2544,,,64,3.00E-06,89.14,0.2668,,,64,3.00E-06,88.28,0.2895,,,64,3.00E-06,86.84,0.3163,,,64,3.00E-06,85.26,0.3574
,64,1.00E-05,89.76,0.2534,,,64,1.00E-05,89.46,0.2555,,,64,1.00E-05,89.04,0.2679,,,64,1.00E-05,88.28,0.2896,,,64,1.00E-05,86.9,0.3162,,,64,1.00E-05,85.24,0.3577
,64,3.00E-05,90.02,0.2524,,,64,3.00E-05,89.56,0.2579,,,64,3.00E-05,88.82,0.2688,,,64,3.00E-05,88.1,0.2912,,,64,3.00E-05,86.96,0.3163,,,64,3.00E-05,85.36,0.3567
,128,3.00E-06,89.84,0.2542,,,128,3.00E-06,89.5,0.2552,,,128,3.00E-06,89.1,0.267,,,128,3.00E-06,88.2,0.2902,,,128,3.00E-06,86.82,0.3168,,,128,3.00E-06,85.26,0.3608
,128,1.00E-05,89.82,0.2541,,,128,1.00E-05,89.44,0.2568,,,128,1.00E-05,89.06,0.268,,,128,1.00E-05,88.26,0.2908,,,128,1.00E-05,86.9,0.3169,,,128,1.00E-05,85.46,0.3598
,128,3.00E-05,90,0.2529,,,128,3.00E-05,89.42,0.2568,,,128,3.00E-05,88.96,0.2684,,,128,3.00E-05,88.12,0.2909,,,128,3.00E-05,86.86,0.3172,,,128,3.00E-05,85.7,0.3605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,,,Batch norm,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-06,89.54,0.2633,,,32,3.00E-06,89.52,0.2666,,,32,3.00E-06,88.9,0.2789,,,32,3.00E-06,88.14,0.2961,,,32,3.00E-06,86.98,0.3179,,,32,3.00E-06,85.3,0.3484
,32,1.00E-05,89.6,0.2634,,,32,1.00E-05,89.44,0.266,,,32,1.00E-05,88.84,0.2779,,,32,1.00E-05,88,0.2946,,,32,1.00E-05,86.96,0.3152,,,32,1.00E-05,85.5,0.3437
,32,3.00E-05,89.14,0.2693,,,32,3.00E-05,89.04,0.2682,,,32,3.00E-05,88.88,0.2806,,,32,3.00E-05,88.1,0.2977,,,32,3.00E-05,87.1,0.3129,,,32,3.00E-05,85.36,0.3447
,64,3.00E-06,89.6,0.2605,,,64,3.00E-06,89.48,0.2665,,,64,3.00E-06,88.82,0.2759,,,64,3.00E-06,88.12,0.295,,,64,3.00E-06,87.08,0.3164,,,64,3.00E-06,85.16,0.3769
,64,1.00E-05,89.58,0.2596,,,64,1.00E-05,89.42,0.2666,,,64,1.00E-05,88.86,0.2766,,,64,1.00E-05,88.04,0.2954,,,64,1.00E-05,87.06,0.3136,,,64,1.00E-05,85.62,0.34
