8,,,,
Vanilla,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.986404,0.117044
,32,3.00E-03,0.984364,1.407249
,32,1.00E-02,0.983005,17.973211
,64,1.00E-03,0.983685,0.084671
,64,3.00E-03,0.984364,0.725117
,64,1.00E-02,0.983005,14.444372
,128,1.00E-03,0.985724,0.091617
,128,3.00E-03,0.983005,0.190702
,128,1.00E-02,0.982325,2.696074
,,,,
Layer norm,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.983005,0.077675
,32,3.00E-03,0.983005,0.072924
,32,1.00E-02,0.985724,0.089130
,64,1.00E-03,0.983005,0.079770
,64,3.00E-03,0.983005,0.110080
,64,1.00E-02,0.985724,0.060761
,128,1.00E-03,0.985044,0.063314
,128,3.00E-03,0.985724,0.084520
,128,1.00E-02,0.983005,0.092802
,,,,
Batch norm,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.987763,0.059590
,32,3.00E-03,0.989123,0.056722
,32,1.00E-02,0.989123,0.068651
,64,1.00E-03,0.988443,0.052717
,64,3.00E-03,0.987763,0.047102
,64,1.00E-02,0.988443,0.045618
,128,1.00E-03,0.987763,0.057434
,128,3.00E-03,0.987084,0.060689
,128,1.00E-02,0.987763,0.057561
,,,,
NP-reg,,,,
lambda,batch_size,learning_rate,accuracy,val loss
0.01,32,1.00E-03,0.992522,0.022006
0.01,32,3.00E-03,0.987763,0.074507
0.01,32,1.00E-02,0.984364,0.211885
0.01,64,1.00E-03,0.993202,0.025443
0.01,64,3.00E-03,0.991842,0.031800
0.01,64,1.00E-02,0.987084,0.150116
0.01,128,1.00E-03,0.991842,0.027216
0.01,128,3.00E-03,0.992522,0.025636
0.01,128,1.00E-02,0.989123,0.029739
0.1,32,1.00E-03,0.991842,0.028000
0.1,32,3.00E-03,0.990483,0.066178
0.1,32,1.00E-02,0.984364,0.165817
0.1,64,1.00E-03,0.991162,0.029128
0.1,64,3.00E-03,0.990483,0.039094
0.1,64,1.00E-02,0.980286,0.154104
0.1,128,1.00E-03,0.990483,0.030994
0.1,128,3.00E-03,0.991842,0.022497
0.1,128,1.00E-02,0.987084,0.043336
1,32,1.00E-03,0.987084,0.042231
1,32,3.00E-03,0.980286,0.105352
1,32,1.00E-02,0.953093,0.246684
1,64,1.00E-03,0.990483,0.029407
1,64,3.00E-03,0.985724,0.055079
1,64,1.00E-02,0.978246,0.067646
1,128,1.00E-03,0.991162,0.032937
1,128,3.00E-03,0.986404,0.041506
1,128,1.00E-02,0.984364,0.045174
,,,,
Weight decay,,,,
lambda,batch_size,learning_rate,accuracy,val loss
1.00E-05,32,1.00E-03,0.986404,0.117044
1.00E-05,32,3.00E-03,0.986404,2.240045
1.00E-05,32,1.00E-02,0.984364,20.121778
1.00E-05,64,1.00E-03,0.983685,0.084671
1.00E-05,64,3.00E-03,0.983685,1.000377
1.00E-05,64,1.00E-02,0.980965,9.859287
1.00E-05,128,1.00E-03,0.985724,0.091617
1.00E-05,128,3.00E-03,0.983005,0.255876
1.00E-05,128,1.00E-02,0.979606,2.754393
1.00E-04,32,1.00E-03,0.983685,0.106130
1.00E-04,32,3.00E-03,0.982325,1.165347
1.00E-04,32,1.00E-02,0.984364,8.739659
1.00E-04,64,1.00E-03,0.985044,0.085704
1.00E-04,64,3.00E-03,0.985044,0.576890
1.00E-04,64,1.00E-02,0.983005,8.452756
1.00E-04,128,1.00E-03,0.987084,0.051150
1.00E-04,128,3.00E-03,0.983005,0.600747
1.00E-04,128,1.00E-02,0.984364,3.695046
1.00E-03,32,1.00E-03,0.983005,0.271503
1.00E-03,32,3.00E-03,0.983685,2.456483
1.00E-03,32,1.00E-02,0.986404,8.161226
1.00E-03,64,1.00E-03,0.983005,0.105555
1.00E-03,64,3.00E-03,0.980965,0.516471
1.00E-03,64,1.00E-02,0.984364,6.928803
1.00E-03,128,1.00E-03,0.984364,0.068443
1.00E-03,128,3.00E-03,0.980965,0.178189
1.00E-03,128,1.00E-02,0.983005,3.339112
,,,,
Dropout,,,,
p,batch size,learning rate,accuracy,val loss
0.1,32,1.00E-03,0.986404,0.598860
0.1,32,3.00E-03,0.985724,4.589235
0.1,32,1.00E-02,0.987084,23.475384
0.1,64,1.00E-03,0.983685,0.062135
0.1,64,3.00E-03,0.985044,1.266351
0.1,64,1.00E-02,0.987084,26.464148
0.1,128,1.00E-03,0.985044,0.060118
0.1,128,3.00E-03,0.986404,0.515490
0.1,128,1.00E-02,0.987084,11.242293
0.3,32,1.00E-03,0.984364,1.253751
0.3,32,3.00E-03,0.985724,6.267716
0.3,32,1.00E-02,0.983685,100.006012
0.3,64,1.00E-03,0.985724,0.522225
0.3,64,3.00E-03,0.983005,4.400099
0.3,64,1.00E-02,0.985724,25.118174
0.3,128,1.00E-03,0.985044,0.072098
0.3,128,3.00E-03,0.983685,1.673645
0.3,128,1.00E-02,0.983685,14.110506
0.5,32,1.00E-03,0.982325,1.315291
0.5,32,3.00E-03,0.980965,9.340019
0.5,32,1.00E-02,0.982325,151.986938
0.5,64,1.00E-03,0.983005,0.545019
0.5,64,3.00E-03,0.981645,4.393065
0.5,64,1.00E-02,0.983005,44.227417
0.5,128,1.00E-03,0.985724,0.329191
0.5,128,3.00E-03,0.983005,2.186245
0.5,128,1.00E-02,0.983685,19.688442
