8192,,,,,,,2048,,,,,,,512,,,,,,,128,,,,,,,32,,,,,,,8,,,,
Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
,32,3.00E-05,93.25% (mean of 5 folds),0.322449 (mean of 5 folds),,,,32,3.00E-05,93.16% (mean of 5 folds),0.277538 (mean of 5 folds),,,,32,3.00E-05,92.78% (mean of 5 folds),0.253233 (mean of 5 folds),,,,32,3.00E-05,92.55% (mean of 5 folds),0.219023 (mean of 5 folds),,,,32,3.00E-05,,,,,,32,3.00E-05,,
,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,
,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,
,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,
,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,
,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,
,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,
,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,
,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer norm,,,,,,,Layer norm,,,,,,,Layer norm,,,,,,,Layer norm,,,,,,,Layer norm,,,,,,,Layer norm,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,
,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,
,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,,,,,32,3.00E-04,,
,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,,,,,64,3.00E-05,,
,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,,,,,64,1.00E-04,,
,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,,,,,64,3.00E-04,,
,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,,,,,128,3.00E-05,,
,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,,,,,128,1.00E-04,,
,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,,,,,128,3.00E-04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch norm,,,,,,,Batch norm,,,,,,,Batch norm,,,,,,,Batch norm,,,,,,,Batch norm,,,,,,,Batch norm,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,,,,,32,3.00E-05,,
,32,1.00E-04,,,,20,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,,,,,32,1.00E-04,,
