8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-05,93.25%,0.322449,,,32,3.00E-05,93.16%,0.277538,,,32,3.00E-05,92.78%,0.253233,,,32,3.00E-05,92.55%,0.219023,,,32,3.00E-05,91.81%,0.231840,,,32,3.00E-05,90.29%,0.281596
,32,1.00E-04,93.33%,0.413997,,,32,1.00E-04,93.42%,0.369280,,,32,1.00E-04,93.21%,0.343076,,,32,1.00E-04,93.07%,0.281110,,,32,1.00E-04,92.57%,0.254046,,,32,1.00E-04,91.95%,0.229106
,32,3.00E-04,93.29%,0.568486,,,32,3.00E-04,93.24%,0.522682,,,32,3.00E-04,92.78%,0.473431,,,32,3.00E-04,93.17%,0.392471,,,32,3.00E-04,92.67%,0.350793,,,32,3.00E-04,92.72%,0.264695
,64,3.00E-05,93.17%,0.263951,,,64,3.00E-05,92.73%,0.243656,,,64,3.00E-05,92.54%,0.232279,,,64,3.00E-05,91.99%,0.223542,,,64,3.00E-05,90.32%,0.271333,,,64,3.00E-05,88.12%,0.398620
,64,1.00E-04,93.28%,0.341548,,,64,1.00E-04,93.17%,0.317532,,,64,1.00E-04,92.97%,0.284993,,,64,1.00E-04,92.72%,0.243637,,,64,1.00E-04,92.43%,0.236409,,,64,1.00E-04,91.48%,0.238277
,64,3.00E-04,93.18%,0.408206,,,64,3.00E-04,93.30%,0.387733,,,64,3.00E-04,93.11%,0.375676,,,64,3.00E-04,93.05%,0.324370,,,64,3.00E-04,92.82%,0.280407,,,64,3.00E-04,92.18%,0.245457
,128,3.00E-05,92.82%,0.232985,,,128,3.00E-05,92.68%,0.224825,,,128,3.00E-05,91.95%,0.230459,,,128,3.00E-05,90.69%,0.256880,,,128,3.00E-05,88.37%,0.359111,,,128,3.00E-05,83.24%,0.607013
,128,1.00E-04,93.15%,0.295631,,,128,1.00E-04,92.80%,0.274037,,,128,1.00E-04,92.73%,0.253612,,,128,1.00E-04,92.48%,0.227974,,,128,1.00E-04,91.65%,0.237859,,,128,1.00E-04,90.24%,0.282723
,128,3.00E-04,93.39%,0.352360,,,128,3.00E-04,93.09%,0.341815,,,128,3.00E-04,92.87%,0.318151,,,128,3.00E-04,92.72%,0.278186,,,128,3.00E-04,92.42%,0.255742,,,128,3.00E-04,91.97%,0.237878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,,,Layer norm,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-05,93.58%,0.307612,,,32,3.00E-05,93.16%,0.287985,,,32,3.00E-05,93.02%,0.265776,,,32,3.00E-05,92.84%,0.227084,,,32,3.00E-05,92.34%,0.231185,,,32,3.00E-05,92.28%,0.480486
,32,1.00E-04,93.60%,0.369548,,,32,1.00E-04,93.23%,0.350999,,,32,1.00E-04,93.04%,0.338661,,,32,1.00E-04,92.80%,0.301698,,,32,1.00E-04,92.47%,0.301202,,,32,1.00E-04,92.86%,0.231826
,32,3.00E-04,92.87%,0.574143,,,32,3.00E-04,93.20%,0.424971,,,32,3.00E-04,93.14%,0.396269,,,32,3.00E-04,93.41%,0.317283,,,32,3.00E-04,92.90%,0.349785,,,32,3.00E-04,92.27%,0.306939
,64,3.00E-05,93.39%,0.257412,,,64,3.00E-05,93.16%,0.238983,,,64,3.00E-05,92.95%,0.227260,,,64,3.00E-05,92.57%,0.210432,,,64,3.00E-05,91.88%,0.276651,,,64,3.00E-05,90.41%,0.800269
,64,1.00E-04,93.53%,0.308314,,,64,1.00E-04,93.19%,0.294854,,,64,1.00E-04,93.01%,0.285236,,,64,1.00E-04,92.83%,0.253007,,,64,1.00E-04,92.38%,0.249839,,,64,1.00E-04,92.75%,0.274471
,64,3.00E-04,93.23%,0.399715,,,64,3.00E-04,93.22%,0.347856,,,64,3.00E-04,93.08%,0.334537,,,64,3.00E-04,92.87%,0.314480,,,64,3.00E-04,92.67%,0.308489,,,64,3.00E-04,92.88%,0.250074
